size_bytes,counter,elapsed_s,average_s
8,1000,0.000260,0.000000260
36,1000,0.000259,0.000000259
64,1000,0.000350,0.000000350
288,1000,0.000476,0.000000476
512,1000,0.000451,0.000000451
2304,1000,0.000717,0.000000717
4096,1000,0.004023,0.000004023
18432,1000,0.006749,0.000006749
32768,1000,0.009051,0.000009051
147456,1000,0.028314,0.000028314
262144,1000,0.045501,0.000045501
635760,1000,0.099521,0.000099521
1048576,1000,0.152116,0.000152116
1572864,1000,0.195694,0.000195694
2097152,1000,0.257166,0.000257166
