method,vector_size,collect_time_s
builtin,1000,0.000028610
custom,1000,0.000013040
builtin,1000,0.000022340
custom,1000,0.000008280
builtin,1000,0.000057499
custom,1000,0.000015340
builtin,10000,0.000013830
custom,10000,0.000010240
builtin,10000,0.000013460
custom,10000,0.000013280
builtin,10000,0.000014990
custom,10000,0.000009400
builtin,100000,0.000008600
custom,100000,0.000005450
builtin,100000,0.000007500
custom,100000,0.000004970
builtin,100000,0.000007720
custom,100000,0.000004740
builtin,1000000,0.000009500
custom,1000000,0.000005490
builtin,1000000,0.000007780
custom,1000000,0.000005920
builtin,1000000,0.000005950
custom,1000000,0.000005530
builtin,10000000,0.000007390
custom,10000000,0.000003490
builtin,10000000,0.000009050
custom,10000000,0.000005490
builtin,10000000,0.000008519
custom,10000000,0.000006370
